title,year,rating,length,image,url
M,1931,8.3,99,m.jpg,https://www.youtube.com/watch?v=nM0w1dTNAH0
I am a Fugitive from a Chain Gang,1932,8.1,92,i-am-a-fugitive.jpg,https://www.youtube.com/watch?v=Z7CzR8R8Gdc
Rebecca,1940,8.1,130,rebecca.jpg,https://www.youtube.com/watch?v=7Ry2aSwBqX0
The Maltese Falcon,1941,8.1,100,maltese-falcon.jpg,https://www.youtube.com/watch?v=Nzy4IXOj9lg
Double Indemnity,1944,8.3,107,double-indemnity.jpg,https://www.youtube.com/watch?v=ZKdcYnlkhx8
Laura,1944,8,88,laura.jpg,https://www.youtube.com/watch?v=f19ID58VTMA
The Lost Weekend,1945,8,101,lost-weekend.jpg,https://www.youtube.com/watch?v=j-tefK9hkuM
Spellbound,1945,7.6,111,spellbound.jpg,https://www.youtube.com/watch?v=Qku4jtvtay8
Scarlet Street,1945,7.9,102,scarlet-street.jpg,https://www.youtube.com/watch?v=ph_NZtXb4AU
Notorious,1946,8,102,notorious.jpg,https://www.youtube.com/watch?v=SdqFT7hFZ2U
The Big Sleep,1946,8,114,big-sleep.jpg,https://www.youtube.com/watch?v=BvsCQ4epa7w
Out of the Past,1947,8,97,out-of-the-past.jpg,https://www.youtube.com/watch?v=A7YzbEGKO90
The Third Man,1949,8.2,93,third-man.jpg,https://www.youtube.com/watch?v=21h0G_gU9Tw
Sunset Boulevard,1950,8.4,110,sunset-boulevard.jpg,https://www.youtube.com/watch?v=SA9lFsiut2Q
Ace in the Hole,1951,8.2,111,ace-in-the-hole.jpg,https://www.youtube.com/watch?v=x0Gsv5p5GdY
Strangers on a Train,1951,8,101,strangers-on-the-train.jpg,https://www.youtube.com/watch?v=J1iSS5r0OVE
Pickup on the South Street,1953,7.8,80,pickup-on-south-street.jpg,https://www.youtube.com/watch?v=oHFznLmt1i8
The Big Heat,1953,8,89,big-heat.jpg,https://www.youtube.com/watch?v=dLLAspkOv3w
Dial M for Murder,1954,8.2,105,dial-m-for-murder.jpg,https://www.youtube.com/watch?v=JWP_hrNHSN4
Kiss Me Deadly,1955,7.6,106,kiss-me-deadly.jpg,https://www.youtube.com/watch?v=JHZAF46MLCw
The Night of the Hunter,1955,8,92,night-of-the-hunter.jpg,https://www.youtube.com/watch?v=Y8dX6ZKJe2o
Sweet Smell of Success,1957,8.2,96,sweet-smell-of-success.jpg,https://www.youtube.com/watch?v=ZtE8r-VTsPY
Witness for the Prosecution,1957,8.4,116,witness-for-the-prosecution.jpg,https://www.youtube.com/watch?v=XlEkeUg2z8I
Touch of Evil,1958,8,95,touch-of-evil.jpg,https://www.youtube.com/watch?v=Yg8MqjoFvy4
Vertigo,1958,8.3,128,vertigo.jpg,https://www.youtube.com/watch?v=Z5jvQwwHQNY
