YEAR,AMOUNT
1948,25.8
1949,1.6
1950,9.5
1951,0
1952,14.4
1953,13.1
1954,9.7
1955,10.7
1956,1.1
1957,10.6
1958,30.2
1959,3.6
1960,32.8
1961,13.1
1962,47
1963,8.3
1964,24.5
1965,20
1966,41.6
1967,29
1968,11.5
1969,13.7
1970,6.7
1971,14.3
1972,14.3
1973,16
1974,5
1975,6
1976,3.9
1977,11.1
1978,11.4
1979,20.2
1980,38.8
1981,2.7
1982,27.2
1983,21.6
1984,4.2
1985,9.6
1986,7.7
1987,26.3
1988,9.9
1989,24.6
1990,0.2
1991,2
1992,0.8
1993,14.4
1994,4.6
1995,5.4
1996,31.7
1997,2.9
1998,0.8
1999,1.6
2000,15.4
2001,3.3
2002,13.7
2003,12
2004,7.6
2005,8.8
2006,4.1
2007,1.3
2008,0.8
2009,14
2010,28.6
2011,2.8
2012,4.5
2013,8.6
2014,14.5
2015,12.8
2016,15.1
2017,10.2
2018,20.8
